代號,名稱,族群,市場
2330,台積電,半導體/晶圓代工,上市
2317,鴻海,AI伺服器/組裝,上市
2382,廣達,AI伺服器,上市
3231,緯創,AI伺服器,上市
6669,緯穎,AI伺服器,上市
2356,英業達,AI伺服器,上市
2324,仁寶,AI伺服器/PC,上市
2376,技嘉,伺服器/板卡,上市
2357,華碩,伺服器/PC,上市
2377,微星,板卡/AI PC,上市
2395,研華,邊緣AI/工業電腦,上市
6414,樺漢,工業電腦,上市
3088,艾訊,工業電腦,上櫃
6579,研揚,工業電腦,上市
8050,廣積,工業電腦,上櫃
3022,威強電,工業電腦,上市
8114,振樺電,工業電腦,上市
6922,宸曜,工業電腦,上櫃
6166,凌華,邊緣AI,上市
6416,瑞祺電通,網安/工業電腦,上櫃
3029,零壹,資安/雲端,上市
6214,精誠,系統整合,上市
2480,敦陽科,系統整合,上市
6561,是方,IDC/雲端,上市
6741,91APP*-KY,雲端服務,上市
3661,世芯-KY,ASIC/高速運算,上市
3443,創意,ASIC,上市
3035,智原,ASIC,上市
2454,聯發科,IC設計,上市
2379,瑞昱,IC設計/網通,上市
3529,力旺,IP,上櫃
5274,信驊,伺服器晶片,上櫃
6643,M31,IP,上櫃
6533,晶心科,IP/RISC-V,上市
5269,祥碩,高速傳輸IC,上市
4966,譜瑞-KY,高速傳輸,上市
6415,矽力*-KY,電源IC,上市
6799,來頡,電源IC,上櫃
3588,通嘉,電源IC,上櫃
8054,安國,IC設計,上市
6679,鈺太,IC設計,上市
4968,立積,射頻IC,上市
3141,晶宏,IC設計,上櫃
6104,創惟,IC設計,上市
6531,愛普*,記憶體/AI,上市
3006,晶豪科,記憶體IC,上市
8299,群聯,記憶體控制,上櫃
6239,力成,封測,上市
2449,京元電子,測試,上市
3711,日月光投控,封測,上市
8150,南茂,封測,上市
3264,欣銓,測試,上櫃
6510,精測,測試介面,上櫃
6223,旺矽,測試介面,上櫃
6515,穎崴,測試介面,上市
6271,同欣電,封裝,上市
6789,采鈺,CIS封裝,上市
5483,中美晶,矽晶圓,上櫃
6488,環球晶,矽晶圓,上櫃
6182,合晶,矽晶圓,上櫃
2408,南亞科,記憶體,上市
2344,華邦電,記憶體,上市
3260,威剛,記憶體模組,上櫃
4967,十銓,記憶體模組,上櫃
3702,大聯大,半導體通路,上市
3036,文曄,半導體通路,上市
2347,聯強,通路,上市
6189,豐藝,通路/伺服器,上市
3017,奇鋐,散熱,上市
3324,雙鴻,散熱,上櫃
6230,尼得科超眾,散熱,上市
3653,健策,散熱/均熱片,上市
2421,建準,風扇,上市
2241,艾姆勒,散熱,上市
8996,高力,散熱/熱交換,上市
3338,泰碩,散熱,上市
6274,台燿,CCL,上市
6213,聯茂,CCL,上市
2383,台光電,CCL,上市
8039,台虹,材料,上市
2368,金像電,PCB/伺服器,上市
3037,欣興,ABF/PCB,上市
3189,景碩,載板,上市
8046,南電,載板,上市
4958,臻鼎-KY,PCB,上市
5469,瀚宇博,PCB,上市
2313,華通,PCB,上市
3044,健鼎,PCB,上市
2402,毅嘉,軟板,上市
6191,精成科,PCB,上市
3321,同泰,PCB,上櫃
5347,世界,晶圓代工,上櫃
2337,旺宏,記憶體,上市
3444,利機,半導體通路,上櫃
6761,穩得,電子零組件,上櫃
6640,均華,半導體設備,上櫃
3131,弘塑,半導體設備,上櫃
3583,辛耘,半導體設備,上市
6187,萬潤,設備,上櫃
3413,京鼎,半導體設備,上市
3167,大量,設備,上櫃
2467,志聖,設備,上市
5443,均豪,設備,上櫃
6937,天虹,半導體設備,上市
6788,華景電,半導體設備,上市
4770,上品,半導體材料,上市
4763,材料-KY,材料,上市
4746,台耀,材料,上市
1723,中碳,材料,上市
1711,永光,化學材料,上市
4766,南寶,材料,上市
4755,三福化,特化,上市
1727,中華化,化學,上市
4721,美琪瑪,材料,上櫃
6585,鼎基,材料,上市
2301,光寶科,電源/伺服器,上市
6121,新普,電池/AI PC,上市
2457,飛宏,電源,上市
6412,群電,電源,上市
3015,全漢,電源,上市
6781,AES-KY,電池模組,上市
2327,國巨,被動元件,上市
2492,華新科,被動元件,上市
3026,禾伸堂,被動元件,上市
3090,日電貿,通路/被動元件,上市
2428,興勤,保護元件,上市
2345,智邦,網通/交換器,上市
3380,明泰,網通,上市
3596,智易,網通,上市
6285,啟碁,網通,上市
4906,正文,網通,上市
5388,中磊,網通,上櫃
2419,仲琦,網通,上市
6263,普萊德,網通,上市
3704,合勤控,網通,上市
6426,統新,光通訊,上市
3450,聯鈞,光通訊,上市
3081,聯亞,光通訊,上櫃
4979,華星光,光通訊,上櫃
3363,上詮,光通訊,上櫃
4908,前鼎,光通訊,上櫃
6442,光聖,光通訊,上櫃
3234,光環,光通訊,上櫃
4977,眾達-KY,光通訊,上櫃
2455,全新,光通訊/砷化鎵,上市
3105,穩懋,砷化鎵,上櫃
8086,宏捷科,砷化鎵,上櫃
4566,時碩工業,機械/航太,上市
2049,上銀,機器人/傳動,上市
1590,亞德客-KY,自動化,上市
2359,所羅門,機器視覺,上市
2464,盟立,自動化,上市
2390,云辰,安控/AI,上市
3454,晶睿,安控,上市
5243,乙盛-KY,機構件,上市
2474,可成,機構件,上市
2354,鴻準,機構件,上市
8210,勤誠,機殼/伺服器,上市
3013,晟銘電,機殼,上市
